Feature,Joint Angle,Correlation,P-value
R-F-Vel_y,L3D_flex,-0.36482440171055186,0.0
R-F-TaG_z,R1C_flex,-0.3645323743817065,0.0
L-H-TaG_z,L2D_flex,-0.3644778923492728,0.0
y_vel_lag_minus_20,R3A_flex,-0.3644477894814232,0.0
z_vel_lag_plus_10,R2A_abduct,0.3640912498701438,0.0
x_vel_ma20,R3C_rot,0.36402602368260234,0.0
R-H-TaG_y,L2C_rot,-0.3638742985187922,0.0
x_vel_lag_minus_2,L2D_flex,0.36381860832290397,0.0
x_vel_lag_plus_10,R1B_rot,-0.363600319391063,0.0
L-M-Vel_r,R1A_rot,-0.3635044026622724,0.0
R-M-TaG_y,R1A_flex,-0.363472176170219,0.0
L-M-Vel_y,L3D_flex,-0.36208108865880223,0.0
x_vel_lag_plus_2,L2D_flex,0.36204719690763476,0.0
z_vel_lag_minus_20,L2D_flex,0.3617292717707069,0.0
x_vel_lag_minus_3,L2D_flex,0.36161131874750874,0.0
L-H-Vel_r,R3B_flex,-0.36160630725652326,0.0
z_vel_lag_minus_20,R2A_abduct,0.36094712209538776,0.0
x_vel_lag_plus_3,R3C_rot,0.36066599379789216,0.0
R-F-Vel_r,L1C_flex,0.3603246077115562,0.0
L-H-TaG_x,L2A_rot,-0.3602707654276189,0.0
z_vel_lag_plus_5,R2A_abduct,0.36020901660353305,0.0
x_vel_lag_plus_2,R3C_rot,0.3601257445764765,0.0
L-F-Vel_r,L3A_rot,0.35999864125716186,0.0
z_vel_ma10,R2A_abduct,0.35948487399901863,0.0
R-F-Vel_z,R2B_rot,-0.35911840517631305,0.0
z_vel_lag_minus_10,R2A_flex,0.3590719495292761,0.0
z_vel_lag_minus_5,R2A_flex,0.3589225351980208,0.0
z_vel_ma20,R2A_flex,0.3587695342850994,0.0
x_vel_lag_plus_1,R3C_rot,0.3587636484019403,0.0
x_vel_lag_plus_5,R3C_rot,0.35868792558021995,0.0
z_vel_lag_plus_3,R2A_abduct,0.35859624406273705,0.0
x_vel_lag_plus_3,L2D_flex,0.35855644269376413,0.0
L-M-TaG_r,L2B_flex,-0.35828806333260915,0.0
x_vel_ma10,R3C_rot,0.3582323660872338,0.0
R-M-Vel_z,L3A_rot,0.3582226091424072,0.0
z_vel_lag_minus_3,R2A_flex,0.35791484779252636,0.0
z_vel_lag_plus_2,R2A_abduct,0.35785376222630944,0.0
y_vel_lag_minus_1,L2C_flex,-0.35760189672754505,0.0
z_vel_ma5,R2A_abduct,0.35750250035041126,0.0
x_vel_ma5,R3C_rot,0.35745641542723666,0.0
xy_velocity,R3C_rot,0.35718663947527374,0.0
z_vel_lag_plus_1,R2A_abduct,0.3571709101152308,0.0
z_vel_lag_minus_2,R2A_flex,0.3571432900098434,0.0
x_vel_lag_minus_5,L2D_flex,0.35707770236322545,0.0
y_vel_ma20,L2C_flex,-0.35659486401476576,0.0
y_vel_lag_plus_20,L1A_abduct,-0.356592276276862,0.0
z_vel_ma10,R2A_flex,0.35652510290189193,0.0
R-F-TaG_z,L2C_flex,0.3563549804136161,0.0
y_vel_lag_minus_5,L1A_abduct,-0.3562508809210749,0.0
z_vel_lag_minus_1,R2A_flex,0.356137783674737,0.0
z_vel_lag_minus_1,R2A_abduct,0.3561104992077978,0.0
z_vel_lag_minus_10,R2A_abduct,0.3558325368770298,0.0
z_vel_lag_minus_2,R2A_abduct,0.35576115732651487,0.0
z_vel_lag_minus_3,R2A_abduct,0.355504588366075,0.0
z_vel_lag_minus_5,R2A_abduct,0.35524290737187464,0.0
y_vel_ma10,L2C_flex,-0.35519106302411785,0.0
z_vel_ma5,R2A_flex,0.35511051406093735,0.0
L-F-Vel_r,R1B_flex,0.35465087641592247,0.0
L-M-TaG_r,L2A_rot,0.35456471096294007,0.0
L-H-TaG_y,R1A_abduct,0.35420466894696667,0.0
R-M-Vel_x,R2A_rot,-0.3541199446161645,0.0
L-H-Vel_z,R3C_rot,-0.3541165323260982,0.0
R-F-TaG_z,L2D_flex,0.3534793551710106,0.0
L-F-TaG_y,R2A_flex,0.35331887180908544,0.0
z_vel_lag_plus_1,R2A_flex,0.3530335311044614,0.0
xz_velocity,L2D_flex,0.35297597844067136,0.0
x_vel_lag_minus_1,R3C_rot,0.3528762031310705,0.0
x_vel_lag_minus_10,R1B_flex,-0.3527653313393223,0.0
velocity_magnitude,R3C_rot,0.3525662837509111,0.0
x_vel_lag_minus_5,L1B_flex,-0.35236449734931785,0.0
R-F-TaG_z,L2B_rot,-0.3519369067175508,0.0
L-M-TaG_y,L1B_flex,-0.35157415960999533,0.0
x_vel_lag_minus_10,R3C_rot,0.35140030838027503,0.0
R-F-Vel_z,L1A_flex,0.35139766918361964,0.0
x_vel_lag_minus_3,L1B_flex,-0.35125334060987085,0.0
x_vel_lag_plus_20,R1B_rot,-0.3511871273094719,0.0
xy_velocity,L1B_flex,-0.35091003785462466,0.0
z_vel_lag_plus_2,R2A_flex,0.3509029904874424,0.0
x_vel_lag_minus_10,L2D_flex,0.3506374423637569,0.0
x_vel_lag_plus_5,L2D_flex,0.350292710760246,0.0
xz_velocity,R3C_rot,0.35020608715242707,0.0
R-H-TaG_y,L3C_rot,-0.34987656076327767,0.0
